Player,Moneyperevent,Sgtotal,Sgputting,SGapproach,Sgaroundgreen,Sgtee
Rory McIlroy,633428.00,2.30,0.60,0.66,0.21,0.83
Cameron Smith,615438.00,1.65,0.57,0.92,0.31,-0.15
Scottie Scheffler,598950.00,1.82,0.35,0.84,0.34,0.30
Patrick Cantlay,390318.00,1.74,0.58,0.32,0.29,0.54
Matt Fitzpatrick,381998.00,2.27,0.39,0.62,0.56,0.69
Justin Thomas,362944.00,1.94,0.22,0.86,0.31,0.55
Xander Schauffele,362394.00,1.86,0.41,0.79,0.30,0.36
Sam Burns,320615.00,1.66,0.58,0.72,0.20,0.16
Will Zalatoris,304776.00,1.72,-0.04,1.01,0.14,0.61
Hideki Matsuyama,300450.00,1.15,-0.07,0.80,0.22,0.20
Cameron Young,286737.00,1.47,0.27,0.09,0.14,0.97
Jon Rahm,271764.00,1.81,0.20,0.58,-0.08,1.11
Collin Morikawa,269329.00,1.18,0.08,0.89,-0.20,0.41
Viktor Hovland,258217.00,0.88,0.42,0.75,-0.80,0.51
Billy Horschel,256466.00,1.34,0.59,-0.03,0.39,0.39
Jordan Spieth,254221.00,1.03,-0.14,0.43,0.33,0.42
Tony Finau,251529.00,1.61,-0.04,0.79,0.25,0.61
Max Homa,242933.00,1.44,0.35,0.57,0.09,0.43
Sungjae Im,216162.00,1.69,0.27,0.32,0.46,0.65
Joaquin Niemann,209294.00,1.29,-0.01,0.42,0.33,0.56
Shane Lowry,203709.00,1.26,0.13,0.78,0.09,0.26
Dustin Johnson,191896.00,0.67,-0.23,0.63,-0.09,0.36
Tommy Fleetwood,169059.00,1.05,0.38,0.18,0.47,0.03
Talor Gooch,169045.00,1.02,0.01,0.65,0.50,-0.14
Kevin Kisner,162087.00,0.41,0.50,-0.20,0.34,-0.23
Keegan Bradley,156080.00,1.28,0.14,0.58,0.13,0.43
Tyrrell Hatton,155142.00,1.12,0.68,0.18,0.24,0.01
Aaron Wise,148959.00,1.09,0.02,0.47,0.19,0.40
Tom Hoge,147288.00,0.88,-0.04,0.75,0.06,0.10
Corey Conners,146447.00,1.30,0.02,0.59,-0.03,0.72
Russell Henley,138488.00,1.35,-0.05,1.00,0.35,0.05
Anirban Lahiri,134113.00,0.27,-0.15,-0.22,0.19,0.46
Lucas Herbert,128386.00,-0.30,0.85,-1.01,0.21,-0.35
Seamus Power,127864.00,0.91,0.42,0.18,0.09,0.23
Jason Kokrak,123156.00,0.34,0.25,0.03,-0.06,0.12
Keith Mitchell,120863.00,1.16,0.27,-0.01,0.11,0.79
Brendan Steele,116341.00,0.43,-0.59,0.34,-0.09,0.77
Davis Riley,113984.00,0.67,0.13,0.22,0.02,0.30
J.T. Poston,113773.00,0.72,0.22,0.03,0.19,0.29
Cameron Tringale,111793.00,0.49,0.04,0.39,0.12,-0.06
Adam Scott,110923.00,0.56,0.16,0.39,-0.14,0.15
Matt Kuchar,110197.00,0.93,0.54,0.04,0.61,-0.25
Mito Pereira,108353.00,1.29,0.06,0.72,0.06,0.46
Harold Varner III,107402.00,0.78,-0.06,0.52,0.35,-0.04
Kurt Kitayama,107257.00,0.28,-0.12,0.31,-0.08,0.17
K.H. Lee,105875.00,0.43,0.08,-0.02,0.10,0.26
Sebastián Muñoz,105871.00,0.53,-0.09,0.28,0.04,0.30
Adam Hadwin,103973.00,0.97,0.22,0.32,0.43,-0.01
Luke List,103930.00,0.68,-0.81,0.65,0.17,0.68
Chris Kirk,103320.00,1.33,0.08,0.34,0.44,0.47
J.J. Spaun,102330.00,0.29,0.12,0.12,-0.09,0.14
Maverick McNealy,100885.00,0.72,0.41,0.03,-0.01,0.30
Sepp Straka,99439.00,-0.30,0.27,-0.43,-0.14,-0.01
Taylor Pendrith,98921.00,0.72,0.03,0.07,0.05,0.57
Abraham Ancer,98750.00,0.14,0.17,0.03,-0.45,0.40
Denny McCarthy,97248.00,0.85,0.78,-0.02,0.25,-0.16
Alex Noren,96792.00,0.74,0.41,0.23,0.08,0.02
Matt Jones,95728.00,0.39,-0.45,0.11,0.48,0.25
Brian Harman,94754.00,0.62,0.23,0.05,0.15,0.20
Matthew Wolff,92824.00,-0.26,0.42,-0.63,0.18,-0.23
Sahith Theegala,90216.00,0.38,-0.11,0.21,0.18,0.10
Marc Leishman,89479.00,0.96,0.54,0.27,0.11,0.03
Gary Woodland,88940.00,0.87,0.13,0.34,0.11,0.28
Mackenzie Hughes,88023.00,0.43,0.53,-0.15,0.35,-0.29
Christiaan Bezuidenhout,85729.00,0.86,0.51,0.21,0.07,0.08
Justin Rose,83941.00,0.76,0.44,0.16,0.05,0.10
Scott Stallings,82628.00,0.72,0.28,0.33,0.10,0.01
Kevin Na,82537.00,0.28,0.09,0.61,0.21,-0.63
Brooks Koepka,82318.00,0.12,0.26,-0.06,-0.28,0.21
Hudson Swafford,81663.00,-0.31,0.00,0.44,-0.75,-0.01
Si Woo Kim,79574.00,0.40,-0.21,0.04,0.26,0.32
Beau Hossler,76465.00,0.09,0.71,-0.69,0.18,-0.10
Lanto Griffin,74677.00,0.29,0.12,0.44,-0.28,0.01
Patrick Reed,74309.00,-0.30,0.24,-0.32,0.28,-0.50
Troy Merritt,73573.00,0.60,0.35,0.05,0.02,0.19
Cam Davis,72190.00,0.53,0.05,0.31,0.00,0.18
Chez Reavie,70703.00,-0.13,-0.36,0.38,0.00,-0.15
Emiliano Grillo,70289.00,0.41,-0.10,0.07,-0.09,0.53
Joel Dahmen,68518.00,0.03,-0.16,0.23,-0.20,0.17
Brendon Todd,67808.00,0.63,0.81,-0.06,0.14,-0.26
John Huh,65278.00,0.36,0.01,0.19,0.15,0.00
Charles Howell III,64125.00,0.68,-0.20,0.06,0.41,0.40
Taylor Moore,62475.00,0.12,-0.09,-0.17,0.08,0.30
Russell Knox,62349.00,0.18,-0.41,0.45,-0.02,0.15
Jason Day,60359.00,0.23,0.15,-0.16,0.24,0.00
Danny Lee,60283.00,-0.53,-0.31,0.03,-0.35,0.11
Brandon Wu,58901.00,-0.10,-0.07,0.05,-0.24,0.16
C.T. Pan,57098.00,0.37,0.06,0.23,0.11,-0.03
Matthew NeSmith,57005.00,0.43,-0.17,0.44,-0.01,0.17
Alex Smalley,56556.00,0.19,-0.25,0.16,-0.04,0.32
